scene_id,video_id,inference_time_ms
nVbIUDjzWY4_scene_0,nVbIUDjzWY4,10.509
nVbIUDjzWY4_scene_1,nVbIUDjzWY4,6.999
H6eyOisPlP4_scene_3210,H6eyOisPlP4,8.0
nVbIUDjzWY4_scene_3,nVbIUDjzWY4,4.983
tPwWU4fNH6c_scene_2337,tPwWU4fNH6c,5.98
nVbIUDjzWY4_scene_2,nVbIUDjzWY4,5.002
4ledYpt-QzY_scene_1329,4ledYpt-QzY,5.999
OpkZbJypAwc_scene_2822,OpkZbJypAwc,6.001
nVbIUDjzWY4_scene_4,nVbIUDjzWY4,3.999
OW2d0-wIECc_scene_3386,OW2d0-wIECc,5.001
nVbIUDjzWY4_scene_5,nVbIUDjzWY4,8.002
nVbIUDjzWY4_scene_6,nVbIUDjzWY4,7.002
M1Ta54rkeQQ_scene_1090,M1Ta54rkeQQ,6.32
nVbIUDjzWY4_scene_8,nVbIUDjzWY4,6.001
gUV6SfVV7Kw_scene_1489,gUV6SfVV7Kw,5.001
nVbIUDjzWY4_scene_7,nVbIUDjzWY4,5.0
H3rQxlJm75c_scene_1376,H3rQxlJm75c,5.0
nVbIUDjzWY4_scene_10,nVbIUDjzWY4,4.998
H6eyOisPlP4_scene_3198,H6eyOisPlP4,5.001
nVbIUDjzWY4_scene_9,nVbIUDjzWY4,5.001
nssig0FNZVU_scene_571,nssig0FNZVU,4.829
wmbwa9QIkaM_scene_3447,wmbwa9QIkaM,5.984
nVbIUDjzWY4_scene_11,nVbIUDjzWY4,5.982
nVbIUDjzWY4_scene_12,nVbIUDjzWY4,4.984
Omkztpc633o_scene_2435,Omkztpc633o,5.011
nVbIUDjzWY4_scene_13,nVbIUDjzWY4,5.998
qouz8wlTuK8_scene_2033,qouz8wlTuK8,5.509
nVbIUDjzWY4_scene_15,nVbIUDjzWY4,4.998
OW2d0-wIECc_scene_3376,OW2d0-wIECc,4.999
nVbIUDjzWY4_scene_14,nVbIUDjzWY4,4.982
nVbIUDjzWY4_scene_16,nVbIUDjzWY4,5.0
Notdcs17xbw_scene_1888,Notdcs17xbw,4.988
OpkZbJypAwc_scene_2852,OpkZbJypAwc,5.0
nVbIUDjzWY4_scene_17,nVbIUDjzWY4,4.999
KawH640l7YM_scene_3746,KawH640l7YM,3.999
rwmt7Cbuvfs_scene_197,rwmt7Cbuvfs,5.001
nVbIUDjzWY4_scene_18,nVbIUDjzWY4,4.976
H3rQxlJm75c_scene_1460,H3rQxlJm75c,4.979
